"","epoch","epochDates","epochDays"
"1",1,2004-04-27 17:10:00,12536.0069444444
"2",2,2004-04-27 17:15:00,12536.0104166667
"3",3,2004-04-27 17:20:00,12536.0138888889
"4",4,2004-04-27 17:25:00,12536.0173611111
"5",5,2004-04-27 17:30:00,12536.0208333333
"6",6,2004-04-27 17:35:00,12536.0243055556
"7",7,2004-04-27 17:40:00,12536.0277777778
"8",8,2004-04-27 17:45:00,12536.03125
"9",9,2004-04-27 17:50:00,12536.0347222222
"10",10,2004-04-27 17:55:00,12536.0381944444
"11",11,2004-04-27 18:00:00,12536.0416666667
"12",12,2004-04-27 18:05:00,12536.0451388889
"13",13,2004-04-27 18:10:00,12536.0486111111
"14",14,2004-04-27 18:15:00,12536.0520833333
"15",15,2004-04-27 18:20:00,12536.0555555556
"16",16,2004-04-27 18:25:00,12536.0590277778
"17",17,2004-04-27 18:30:00,12536.0625
"18",18,2004-04-27 18:35:00,12536.0659722222
"19",19,2004-04-27 18:40:00,12536.0694444444
"20",20,2004-04-27 18:45:00,12536.0729166667
"21",21,2004-04-27 18:50:00,12536.0763888889
"22",22,2004-04-27 18:55:00,12536.0798611111
"23",23,2004-04-27 19:00:00,12536.0833333333
"24",24,2004-04-27 19:05:00,12536.0868055556
"25",25,2004-04-27 19:10:00,12536.0902777778
"26",26,2004-04-27 19:15:00,12536.09375
"27",27,2004-04-27 19:20:00,12536.0972222222
"28",28,2004-04-27 19:25:00,12536.1006944444
"29",29,2004-04-27 19:30:00,12536.1041666667
"30",30,2004-04-27 19:35:00,12536.1076388889
"31",31,2004-04-27 19:40:00,12536.1111111111
"32",32,2004-04-27 19:45:00,12536.1145833333
"33",33,2004-04-27 19:50:00,12536.1180555556
"34",34,2004-04-27 19:55:00,12536.1215277778
"35",35,2004-04-27 20:00:00,12536.125
"36",36,2004-04-27 20:05:00,12536.1284722222
"37",37,2004-04-27 20:10:00,12536.1319444444
"38",38,2004-04-27 20:15:00,12536.1354166667
"39",39,2004-04-27 20:20:00,12536.1388888889
"40",40,2004-04-27 20:25:00,12536.1423611111
"41",41,2004-04-27 20:30:00,12536.1458333333
"42",42,2004-04-27 20:35:00,12536.1493055556
"43",43,2004-04-27 20:40:00,12536.1527777778
"44",44,2004-04-27 20:45:00,12536.15625
"45",45,2004-04-27 20:50:00,12536.1597222222
"46",46,2004-04-27 20:55:00,12536.1631944444
"47",47,2004-04-27 21:00:00,12536.1666666667
"48",48,2004-04-27 21:05:00,12536.1701388889
"49",49,2004-04-27 21:10:00,12536.1736111111
"50",50,2004-04-27 21:15:00,12536.1770833333
"51",51,2004-04-27 21:20:00,12536.1805555556
"52",52,2004-04-27 21:25:00,12536.1840277778
"53",53,2004-04-27 21:30:00,12536.1875
"54",54,2004-04-27 21:35:00,12536.1909722222
"55",55,2004-04-27 21:40:00,12536.1944444444
"56",56,2004-04-27 21:45:00,12536.1979166667
"57",57,2004-04-27 21:50:00,12536.2013888889
"58",58,2004-04-27 21:55:00,12536.2048611111
"59",59,2004-04-27 22:00:00,12536.2083333333
"60",60,2004-04-27 22:05:00,12536.2118055556
"61",61,2004-04-27 22:10:00,12536.2152777778
"62",62,2004-04-27 22:15:00,12536.21875
"63",63,2004-04-27 22:20:00,12536.2222222222
"64",64,2004-04-27 22:25:00,12536.2256944444
"65",65,2004-04-27 22:30:00,12536.2291666667
"66",66,2004-04-27 22:35:00,12536.2326388889
"67",67,2004-04-27 22:40:00,12536.2361111111
"68",68,2004-04-27 22:45:00,12536.2395833333
"69",69,2004-04-27 22:50:00,12536.2430555556
"70",70,2004-04-27 22:55:00,12536.2465277778
"71",71,2004-04-27 23:00:00,12536.25
"72",72,2004-04-27 23:05:00,12536.2534722222
"73",73,2004-04-27 23:10:00,12536.2569444444
"74",74,2004-04-27 23:15:00,12536.2604166667
"75",75,2004-04-27 23:20:00,12536.2638888889
"76",76,2004-04-27 23:25:00,12536.2673611111
"77",77,2004-04-27 23:30:00,12536.2708333333
"78",78,2004-04-27 23:35:00,12536.2743055556
"79",79,2004-04-27 23:40:00,12536.2777777778
"80",80,2004-04-27 23:45:00,12536.28125
"81",81,2004-04-27 23:50:00,12536.2847222222
"82",82,2004-04-27 23:55:00,12536.2881944444
"83",83,2004-04-28 00:00:00,12536.2916666667
"84",84,2004-04-28 00:05:00,12536.2951388889
"85",85,2004-04-28 00:10:00,12536.2986111111
"86",86,2004-04-28 00:15:00,12536.3020833333
"87",87,2004-04-28 00:20:00,12536.3055555556
"88",88,2004-04-28 00:25:00,12536.3090277778
"89",89,2004-04-28 00:30:00,12536.3125
"90",90,2004-04-28 00:35:00,12536.3159722222
"91",91,2004-04-28 00:40:00,12536.3194444444
"92",92,2004-04-28 00:45:00,12536.3229166667
"93",93,2004-04-28 00:50:00,12536.3263888889
"94",94,2004-04-28 00:55:00,12536.3298611111
"95",95,2004-04-28 01:00:00,12536.3333333333
"96",96,2004-04-28 01:05:00,12536.3368055556
